Book Num,Width,Last Page Number,Blank Pieces of Paper
1,1.2,228,6
2,3.5,541,8
3,3,496,9
4,3.9,1000,12
5,1.6,680,5
6,2.6,396,6
7,0.8,139,2
8,2.2,272,4
9,4.5,800,6
10,3.8,811,4
11,4.3,818,6
12,3.1,645,5
13,1.9,301,5
14,1,183,8
15,1.1,213,5
16,2.1,302,6
17,2.3,257,8
18,2,268,8
19,1.4,253,6
20,1.4,220,5
21,1.1,212,5
22,1.1,212,8
23,1.8,428,8
24,1.5,248,6
25,0.9,118,2
26,1.2,157,3
27,1.2,106,3
28,1.2,184,3
29,1.2,152,4
30,0.9,144,4
31,0.9,129,6
32,2.2,396,3
33,2.2,224,6
34,2.1,222,6
35,2.6,157,6
36,1.3,281,10
37,2.8,380,5
38,1.5,660,3
39,2.1,321,2
40,2.2,465,4
41,1.6,331,6
42,1.9,456,5
